commune,departemen,latitude,longitude
VERNON,EURE,49.09116847030529,1.4784640315589328
MONTBELIARD,DOUBS,47.510507886435434,6.801539332256803
MONT-DE-MARSAN,LANDES,43.8847039341487,-0.5041214782279986
NOISY-LE-SEC,SEINE-SAINT-DENIS,48.896750428157546,2.4599217972844794
MONTMORILLON,VIENNE,46.41736546365997,0.8737930550017823
LAON,AISNE,49.57070882376675,3.6237967504901416
AUFFAY,SEINE-MARITIME,49.716190845816925,1.098440484692691
LUMBRES,PAS-DE-CALAIS,50.70062276760096,2.1196565848323146
GUJAN-MESTRAS,GIRONDE,44.64002182365238,-1.116034032456399
BLANGY-SUR-BRESLE,SEINE-MARITIME,49.9325219575328,1.6259542068044759
ROCHE-LEZ-BEAUPRÉ,DOUBS,47.27617684004247,6.110782365332251
VIROFLAY,YVELINES,48.79954704523881,2.1844490223698383
WOIPPY,MOSELLE,49.14871927932281,6.156082835862929
NONANT-LE-PIN,ORNE,48.703756535610204,0.2198787512891212
VALLORCINE,HAUTE-SAVOIE,46.01917242012607,6.920548372764416
GRETZ-ARMAINVILLIERS,SEINE-ET-MARNE,48.74481143947347,2.729304357568889
COLTAINVILLE,EURE-ET-LOIR,48.48940188361317,1.5825402488999118
AGONAC,DORDOGNE,45.28659007210232,0.748705624293985
LE CHEYLAS,ISERE,45.39313502608719,5.997234672401361
LAVELINE-DEVANT-BRUYÈRES,VOSGES,48.18554064402463,6.753285589276006
MARVEJOLS,LOZERE,44.544670099982824,3.281142663772214
FOUGEROLLES,HAUTE-SAONE,47.88816786758805,6.4082121783228985
SQUIFFIEC,COTES-D'ARMOR,48.624576044347506,-3.1741151582598834
BEZIERS,HERAULT,43.33601686057278,3.2195714134116495
LILLE,NORD,50.62569602624646,3.073603597508173
LANDÉBIA,COTES-D'ARMOR,48.5071844408375,-2.3313009843699852
LOUROUX-DE-BOUBLE,ALLIER,46.22408082991085,2.9848861630415
LARDY,ESSONNE,48.531934564907516,2.2891258222141215
LORIENT,MORBIHAN,47.75512114028174,-3.3662896237765305
COURCELLES-SUR-NIED,MOSELLE,49.06348880402853,6.31098907150548
AUBIE-ET-ESPESSAS,GIRONDE,45.01538875986203,-0.4196207743402365
BÉDARIEUX,HERAULT,43.605074082153024,3.147606955268795
TASSIN-LA-DEMI-LUNE,RHONE,45.751900567373305,4.771826833320993
LA CHAPELLE-LA-REINE,SEINE-ET-MARNE,48.32206452797605,2.567472797272149
AUDUN-LE-ROMAN,MEURTHE-ET-MOSELLE,49.36659015609054,5.891464268047642
THOUARÉ-SUR-LOIRE,LOIRE-ATLANTIQUE,47.26508698176821,-1.441041066885649
GEMEAUX,COTE-D'OR,47.47814146597137,5.129734642399785
THIAIS,VAL-DE-MARNE,48.74769877679097,2.371924454438783
CHATEAUBRIANT,LOIRE-ATLANTIQUE,47.717011947785124,-1.37139914639392
LAROQUEBROU,CANTAL,44.964072656151295,2.1928612601233364
BEAUZAC,HAUTE-LOIRE,45.25981324002216,4.137456811955178
BAINVILLE-SUR-MADON,MEURTHE-ET-MOSELLE,48.58599514921745,6.09954060367336
NOGENT-SUR-VERNISSON,LOIRET,47.85281739868676,2.7376388015761925
LA HOUSSIÈRE,VOSGES,48.19841684342368,6.877630055927244
PLANÈS,PYRENEES-ORIENTALES,42.501037200842134,2.136887780352251
LE CHÂTEAU-D'ALMENÊCHES,ORNE,48.66502902685912,0.1345584096697272
